,state,county_name,confirmed,confirmed_per_100000,deaths,recorded_date
111,South Carolina,Lexington,1971,688.4,48,2020-06-30
112,Ohio,Clark,728,538.47,8,2020-06-30
113,Ohio,Licking,396,229.84,11,2020-06-30
114,California,Los Angeles,100958,999.78,3331,2020-06-30
115,Virginia,Chesterfield,2869,845.2,49,2020-06-30
116,California,Los Angeles,101279,1002.96,3333,2020-06-30
117,Ohio,Franklin,9148,717.3,404,2020-06-30
118,North Carolina,Wake,5060,483.49,47,2020-06-30
119,South Carolina,Greenville,5009,1005.01,81,2020-06-30
120,South Carolina,Charleston,4027,1020.25,26,2020-06-30
121,North Carolina,Durham,3679,1200.49,63,2020-06-30
122,South Carolina,Richland,3518,861.7,83,2020-06-30
123,South Carolina,Horry,3321,1034.85,45,2020-06-30
124,North Carolina,Forsyth,2996,806.3,34,2020-06-30
125,Virginia,Chesterfield,2897,853.45,50,2020-06-30
126,South Carolina,Lexington,2071,723.33,49,2020-06-30
127,Ohio,Clark,729,539.21,8,2020-06-30
128,North Carolina,Brunswick,510,402.02,5,2020-06-30
129,Ohio,Licking,404,234.48,11,2020-06-30
144,California,Los Angeles,103872,1028.63,3373,2020-07-01
145,Ohio,Franklin,9148,717.3,404,2020-07-01
146,North Carolina,Wake,5178,494.76,47,2020-07-01
147,South Carolina,Greenville,5009,1005.01,81,2020-07-01
148,South Carolina,Charleston,4027,1020.25,26,2020-07-01
149,North Carolina,Durham,3679,1200.49,63,2020-07-01
150,South Carolina,Richland,3518,861.7,83,2020-07-01
151,South Carolina,Horry,3321,1034.85,45,2020-07-01
152,North Carolina,Forsyth,2996,806.3,34,2020-07-01
153,Virginia,Chesterfield,2897,853.45,50,2020-07-01
154,South Carolina,Lexington,2071,723.33,49,2020-07-01
155,Ohio,Clark,729,539.21,8,2020-07-01
156,North Carolina,Brunswick,510,402.02,5,2020-07-01
157,Ohio,Licking,404,234.48,11,2020-07-01
